Listing...
2ping/jammy,now 4.5-1 all [installed]
libboost-coroutine1.74-dev/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-coroutine1.74.0/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-date-time-dev/jammy,now 1.74.0.3ubuntu7 armhf [installed]
libboost-date-time1.74-dev/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-date-time1.74.0/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-dev/jammy,now 1.74.0.3ubuntu7 armhf [installed]
libboost-exception-dev/jammy,now 1.74.0.3ubuntu7 armhf [installed]
libboost-exception1.74-dev/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-fiber-dev/jammy,now 1.74.0.3ubuntu7 armhf [installed]
libboost-fiber1.74-dev/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-fiber1.74.0/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-filesystem-dev/jammy,now 1.74.0.3ubuntu7 armhf [installed]
libboost-filesystem1.74-dev/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-filesystem1.74.0/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-graph-dev/jammy,now 1.74.0.3ubuntu7 armhf [installed]
libboost-graph-parallel-dev/jammy,now 1.74.0.3ubuntu7 armhf [installed]
libboost-graph-parallel1.74-dev/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-graph-parallel1.74.0/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-graph1.74-dev/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-graph1.74.0/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-iostreams-dev/jammy,now 1.74.0.3ubuntu7 armhf [installed]
libboost-iostreams1.74-dev/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-iostreams1.74.0/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-locale-dev/jammy,now 1.74.0.3ubuntu7 armhf [installed]
libboost-locale1.74-dev/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-locale1.74.0/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-log-dev/jammy,now 1.74.0.3ubuntu7 armhf [installed]
libboost-log1.74-dev/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-log1.74.0/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-math-dev/jammy,now 1.74.0.3ubuntu7 armhf [installed]
libboost-math1.74-dev/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-math1.74.0/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-mpi-dev/jammy,now 1.74.0.3ubuntu7 armhf [installed]
libboost-mpi-python-dev/jammy,now 1.74.0.3ubuntu7 armhf [installed]
libboost-mpi-python1.74-dev/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-mpi-python1.74.0/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-mpi1.74-dev/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-mpi1.74.0/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-nowide-dev/jammy,now 1.74.0.3ubuntu7 armhf [installed]
libboost-nowide1.74-dev/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-nowide1.74.0/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-numpy-dev/jammy,now 1.74.0.3ubuntu7 armhf [installed]
libboost-numpy1.74-dev/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-numpy1.74.0/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-program-options-dev/jammy,now 1.74.0.3ubuntu7 armhf [installed]
libboost-program-options1.74-dev/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-program-options1.74.0/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-python-dev/jammy,now 1.74.0.3ubuntu7 armhf [installed]
libboost-python1.74-dev/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-python1.74.0/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-random-dev/jammy,now 1.74.0.3ubuntu7 armhf [installed]
libboost-random1.74-dev/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-random1.74.0/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-regex-dev/jammy,now 1.74.0.3ubuntu7 armhf [installed]
libboost-regex1.74-dev/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-regex1.74.0/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-serialization-dev/jammy,now 1.74.0.3ubuntu7 armhf [installed]
libboost-serialization1.74-dev/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-serialization1.74.0/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-stacktrace-dev/jammy,now 1.74.0.3ubuntu7 armhf [installed]
libboost-stacktrace1.74-dev/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-stacktrace1.74.0/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-system-dev/jammy,now 1.74.0.3ubuntu7 armhf [installed]
libboost-system1.74-dev/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-system1.74.0/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-test-dev/jammy,now 1.74.0.3ubuntu7 armhf [installed]
libboost-test1.74-dev/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-test1.74.0/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-thread-dev/jammy,now 1.74.0.3ubuntu7 armhf [installed]
libboost-thread1.74-dev/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-thread1.74.0/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-timer-dev/jammy,now 1.74.0.3ubuntu7 armhf [installed]
libboost-timer1.74-dev/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-timer1.74.0/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-tools-dev/jammy,now 1.74.0.3ubuntu7 armhf [installed]
libboost-type-erasure-dev/jammy,now 1.74.0.3ubuntu7 armhf [installed]
libboost-type-erasure1.74-dev/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-type-erasure1.74.0/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-wave-dev/jammy,now 1.74.0.3ubuntu7 armhf [installed]
libboost-wave1.74-dev/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost-wave1.74.0/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost1.74-dev/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libboost1.74-tools-dev/jammy,now 1.74.0-14ubuntu3 armhf [installed]
libbpf0/jammy,now 1:0.5.0-1 armhf [installed]
libbrotli-dev/jammy,now 1.0.9-2build6 armhf [installed]
libbrotli1/jammy,now 1.0.9-2build6 armhf [installed]
libbsd-dev/jammy,now 0.11.5-1 armhf [installed]
libbsd0/jammy,now 0.11.5-1 armhf [installed]
libbz2-1.0/jammy,now 1.0.8-5build1 armhf [installed]
libc-ares-dev/jammy,now 1.18.1-1build1 armhf [installed]
libc-ares2/jammy,now 1.18.1-1build1 armhf [installed]
libc-bin/jammy,now 2.35-0ubuntu3 armhf [installed]
libc-dev-bin/jammy,now 2.35-0ubuntu3 armhf [installed]
libc-devtools/jammy,now 2.35-0ubuntu3 armhf [installed]
libc6-dbg/jammy,now 2.35-0ubuntu3 armhf [installed]
libc6-dev/jammy,now 2.35-0ubuntu3 armhf [installed]
libc6/jammy,now 2.35-0ubuntu3 armhf [installed]
libcaf-openmpi-3/jammy,now 2.9.2-3 armhf [installed]
libcairo-gobject2/jammy,now 1.16.0-5ubuntu2 armhf [installed]
libcairo-script-interpreter2/jammy,now 1.16.0-5ubuntu2 armhf [installed]
libcairo2-dev/jammy,now 1.16.0-5ubuntu2 armhf [installed]
libcairo2/jammy,now 1.16.0-5ubuntu2 armhf [installed]
libcanberra-gtk-module/jammy,now 0.30-10ubuntu1 armhf [installed]
libcanberra-gtk0/jammy,now 0.30-10ubuntu1 armhf [installed]
libcanberra0/jammy,now 0.30-10ubuntu1 armhf [installed]
libcap-ng0/jammy,now 0.7.9-2.2build3 armhf [installed]
libcap2-bin/jammy,now 1:2.44-1build3 armhf [installed]
libcap2/jammy,now 1:2.44-1build3 armhf [installed]
libcbor0.8/jammy,now 0.8.0-2ubuntu1 armhf [installed]
libcc1-0/jammy,now 12-20220319-1ubuntu1 armhf [installed]
libcdparanoia0/jammy,now 3.10.2+debian-14build2 armhf [installed]
libcdt5/jammy,now 2.42.2-6 armhf [installed]
libcfitsio9/jammy,now 4.0.0-1 armhf [installed]
libcgi-fast-perl/jammy,now 1:2.15-1 all [installed]
libcgi-pm-perl/jammy,now 4.54-1 all [installed]
libcgraph6/jammy,now 2.42.2-6 armhf [installed]
libcharls2/jammy,now 2.3.4-1 armhf [installed]
libchromaprint1/jammy,now 1.5.1-2 armhf [installed]
libclass-c3-perl/jammy,now 0.35-1 all [installed]
libclass-c3-xs-perl/jammy,now 0.15-1build2 armhf [installed]
libclass-method-modifiers-perl/jammy,now 2.13-1 all [installed]
libclass-xsaccessor-perl/jammy,now 1.19-3build9 armhf [installed]
libclone-perl/jammy,now 0.45-1build3 armhf [installed]
libcmark-gfm-extensions0.29.0.gfm.3/jammy,now 0.29.0.gfm.3-3 armhf [installed]
libcmark-gfm0.29.0.gfm.3/jammy,now 0.29.0.gfm.3-3 armhf [installed]
libcoarrays-dev/jammy,now 2.9.2-3 armhf [installed]
libcoarrays-openmpi-dev/jammy,now 2.9.2-3 armhf [installed]
libcodec2-1.0/jammy,now 1.0.1-3 armhf [installed]
libcolord2/jammy,now 1.4.6-1 armhf [installed]
libcom-err2/jammy,now 1.46.5-2ubuntu1 armhf [installed]
libcpan-changes-perl/jammy,now 0.400002-1.1 all [installed]
libcpufreq0/jammy,now 008-2build1 armhf [installed]
libcrypt-dev/jammy,now 1:4.4.27-1 armhf [installed]
libcrypt1/jammy,now 1:4.4.27-1 armhf [installed]
