Listing...
2ping/jammy,now 4.5-1 all [installed]
libopencv-dev/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-dnn-dev/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-dnn4.5d/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-features2d-dev/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-features2d4.5d/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-flann-dev/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-flann4.5d/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-highgui-dev/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-highgui4.5d/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-imgcodecs-dev/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-imgcodecs4.5d/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-imgproc-dev/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-imgproc4.5d/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-ml-dev/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-ml4.5d/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-objdetect-dev/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-objdetect4.5d/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-photo-dev/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-photo4.5d/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-shape-dev/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-shape4.5d/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-stitching-dev/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-stitching4.5d/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-superres-dev/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-superres4.5d/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-video-dev/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-video4.5d/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-videoio-dev/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-videoio4.5d/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-videostab-dev/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-videostab4.5d/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-viz-dev/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv-viz4.5d/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv4.5-java/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopencv4.5d-jni/jammy,now 4.5.4+dfsg-9ubuntu4 armhf [installed]
libopenexr-dev/jammy,now 2.5.7-1 armhf [installed]
libopenexr25/jammy,now 2.5.7-1 armhf [installed]
libopengl0/jammy,now 1.4.0-1 armhf [installed]
libopenjp2-7/jammy,now 2.4.0-6 armhf [installed]
libopenmpi-dev/jammy,now 4.1.2-2ubuntu1 armhf [installed]
libopenmpi3/jammy,now 4.1.2-2ubuntu1 armhf [installed]
libopenmpt0/jammy,now 0.6.1-1 armhf [installed]
libopts25/jammy,now 1:5.18.16-4 armhf [installed]
libopus0/jammy,now 1.3.1-0.1build2 armhf [installed]
liborc-0.4-0/jammy,now 1:0.4.32-2 armhf [installed]
libp11-kit0/jammy,now 0.24.0-6build1 armhf [installed]
libpackage-constants-perl/jammy,now 0.06-1 all [installed]
libpackage-stash-perl/jammy,now 0.39-1 all [installed]
libpackage-stash-xs-perl/jammy,now 0.29-1build5 armhf [installed]
libpackagekit-glib2-18/jammy,now 1.2.5-2ubuntu2 armhf [installed]
libpadwalker-perl/jammy,now 2.5-1build2 armhf [installed]
libpam-cap/jammy,now 1:2.44-1build3 armhf [installed]
libpam-modules-bin/jammy,now 1.4.0-11ubuntu2 armhf [installed]
libpam-modules/jammy,now 1.4.0-11ubuntu2 armhf [installed]
libpam-runtime/jammy,now 1.4.0-11ubuntu2 all [installed]
libpam-systemd/jammy,now 249.11-0ubuntu3 armhf [installed]
libpam0g/jammy,now 1.4.0-11ubuntu2 armhf [installed]
libpango-1.0-0/jammy,now 1.50.6+ds-2 armhf [installed]
libpango1.0-dev/jammy,now 1.50.6+ds-2 armhf [installed]
libpangocairo-1.0-0/jammy,now 1.50.6+ds-2 armhf [installed]
libpangoft2-1.0-0/jammy,now 1.50.6+ds-2 armhf [installed]
libpangoxft-1.0-0/jammy,now 1.50.6+ds-2 armhf [installed]
libpaper-utils/jammy,now 1.1.28build2 armhf [installed]
libpaper1/jammy,now 1.1.28build2 armhf [installed]
libparams-classify-perl/jammy,now 0.015-1build5 armhf [installed]
libparams-util-perl/jammy,now 1.102-1build3 armhf [installed]
libparams-validate-perl/jammy,now 1.30-1build3 armhf [installed]
libpath-tiny-perl/jammy,now 0.122-1 all [installed]
libpathplan4/jammy,now 2.42.2-6 armhf [installed]
libpciaccess-dev/jammy,now 0.16-3 armhf [installed]
libpciaccess0/jammy,now 0.16-3 armhf [installed]
libpcre16-3/jammy,now 2:8.39-13build5 armhf [installed]
libpcre2-16-0/jammy,now 10.39-3build1 armhf [installed]
libpcre2-32-0/jammy,now 10.39-3build1 armhf [installed]
libpcre2-8-0/jammy,now 10.39-3build1 armhf [installed]
libpcre2-dev/jammy,now 10.39-3build1 armhf [installed]
libpcre2-posix3/jammy,now 10.39-3build1 armhf [installed]
libpcre3-dev/jammy,now 2:8.39-13build5 armhf [installed]
libpcre32-3/jammy,now 2:8.39-13build5 armhf [installed]
libpcre3/jammy,now 2:8.39-13build5 armhf [installed]
libpcrecpp0v5/jammy,now 2:8.39-13build5 armhf [installed]
libpcsclite1/jammy,now 1.9.5-3 armhf [installed]
libperl5.34/jammy,now 5.34.0-3ubuntu1 armhf [installed]
libpgm-5.3-0/jammy,now 5.3.128~dfsg-2 armhf [installed]
libpipeline1/jammy,now 1.5.5-1 armhf [installed]
libpixman-1-0/jammy,now 0.40.0-1build4 armhf [installed]
libpixman-1-dev/jammy,now 0.40.0-1build4 armhf [installed]
libpmix-dev/jammy,now 4.1.2-2ubuntu1 armhf [installed]
libpmix2/jammy,now 4.1.2-2ubuntu1 armhf [installed]
libpng-dev/jammy,now 1.6.37-3build5 armhf [installed]
libpng-tools/jammy,now 1.6.37-3build5 armhf [installed]
libpng16-16/jammy,now 1.6.37-3build5 armhf [installed]
libpod-latex-perl/jammy,now 0.61-3 all [installed]
libpod-markdown-perl/jammy,now 3.300000-1 all [installed]
libpod-parser-perl/jammy,now 1.63-2 all [installed]
libpod-readme-perl/jammy,now 1.2.3-1 all [installed]
libpolkit-agent-1-0/jammy,now 0.105-33 armhf [installed]
libpolkit-gobject-1-0/jammy,now 0.105-33 armhf [installed]
libpoppler118/jammy,now 22.02.0-2 armhf [installed]
libpopt0/jammy,now 1.18-3build1 armhf [installed]
libportaudio2/jammy,now 19.6.0-1.1 armhf [installed]
libportaudiocpp0/jammy,now 19.6.0-1.1 armhf [installed]
libpotrace0/jammy,now 1.16-2 armhf [installed]
libpq5/jammy,now 14.2-1ubuntu1 armhf [installed]
libprocps8/jammy,now 2:3.3.17-6ubuntu2 armhf [installed]
libproj22/jammy,now 8.2.1-1 armhf [installed]
libprotobuf-dev/jammy,now 3.12.4-1ubuntu7 armhf [installed]
libprotobuf-lite23/jammy,now 3.12.4-1ubuntu7 armhf [installed]
libprotobuf23/jammy,now 3.12.4-1ubuntu7 armhf [installed]
libprotoc23/jammy,now 3.12.4-1ubuntu7 armhf [installed]
libpsl5/jammy,now 0.21.0-1.2build2 armhf [installed]
libptexenc1/jammy,now 2021.20210626.59705-1build1 armhf [installed]
libpthread-stubs0-dev/jammy,now 0.4-1build2 armhf [installed]
libpulse0/jammy,now 1:15.99.1+dfsg1-1ubuntu1 armhf [installed]
libpython2-dev/jammy,now 2.7.18-3 armhf [installed]
libpython2-stdlib/jammy,now 2.7.18-3 armhf [installed]
libpython2.7-dev/jammy,now 2.7.18-13ubuntu1 armhf [installed]
libpython2.7-minimal/jammy,now 2.7.18-13ubuntu1 armhf [installed]
libpython2.7-stdlib/jammy,now 2.7.18-13ubuntu1 armhf [installed]
libpython2.7/jammy,now 2.7.18-13ubuntu1 armhf [installed]
libpython3-dev/jammy,now 3.10.4-0ubuntu2 armhf [installed]
libpython3-stdlib/jammy,now 3.10.4-0ubuntu2 armhf [installed]
libpython3.10-dev/jammy,now 3.10.4-3 armhf [installed]
libpython3.10-minimal/jammy,now 3.10.4-3 armhf [installed]
libpython3.10-stdlib/jammy,now 3.10.4-3 armhf [installed]
libpython3.10/jammy,now 3.10.4-3 armhf [installed]
libqhull-r8.0/jammy,now 2020.2-4 armhf [installed]
librabbitmq4/jammy,now 0.10.0-1ubuntu2 armhf [installed]
libraqm0/jammy,now 0.7.0-4ubuntu1 armhf [installed]
libraw1394-11/jammy,now 2.1.2-2build2 armhf [installed]
libraw1394-dev/jammy,now 2.1.2-2build2 armhf [installed]
libraw1394-tools/jammy,now 2.1.2-2build2 armhf [installed]
librdmacm1/jammy,now 39.0-1 armhf [installed]
libreadline-dev/jammy,now 8.1.2-1 armhf [installed]
libreadline8/jammy,now 8.1.2-1 armhf [installed]
libreadonly-perl/jammy,now 2.050-3 all [installed]
libref-util-perl/jammy,now 0.204-1 all [installed]
libref-util-xs-perl/jammy,now 0.117-1build5 armhf [installed]
librhash0/jammy,now 1.4.2-1ubuntu1 armhf [installed]
libroken18-heimdal/jammy,now 7.7.0+dfsg-3ubuntu1 armhf [installed]
librole-tiny-perl/jammy,now 2.002004-1 all [installed]
librsvg2-2/jammy,now 2.52.5+dfsg-3 armhf [installed]
librsvg2-common/jammy,now 2.52.5+dfsg-3 armhf [installed]
librtmp1/jammy,now 2.4+20151223.gitfa8646d.1-2build4 armhf [installed]
librttopo1/jammy,now 1.1.0-2 armhf [installed]
libruby3.0/jammy,now 3.0.2-7ubuntu2 armhf [installed]
libruby/jammy,now 1:3.0~exp1 all [installed]
libsasl2-2/jammy,now 2.1.27+dfsg2-3ubuntu1 armhf [installed]
libsasl2-modules-db/jammy,now 2.1.27+dfsg2-3ubuntu1 armhf [installed]
libsasl2-modules/jammy,now 2.1.27+dfsg2-3ubuntu1 armhf [installed]
libseccomp2/jammy,now 2.5.3-2ubuntu2 armhf [installed]
libselinux1-dev/jammy,now 3.3-1build2 armhf [installed]
libselinux1/jammy,now 3.3-1build2 armhf [installed]
libsemanage-common/jammy,now 3.3-1build2 all [installed]
libsemanage2/jammy,now 3.3-1build2 armhf [installed]
libsensors-config/jammy,now 1:3.6.0-7ubuntu1 all [installed]
libsensors-dev/jammy,now 1:3.6.0-7ubuntu1 armhf [installed]
libsensors4-dev/jammy,now 1:3.6.0-7ubuntu1 armhf [installed]
libsensors5/jammy,now 1:3.6.0-7ubuntu1 armhf [installed]
libsepol-dev/jammy,now 3.3-1build1 armhf [installed]
libsepol2/jammy,now 3.3-1build1 armhf [installed]
libshine3/jammy,now 3.1.1-2 armhf [installed]
libsigc++-2.0-0v5/jammy,now 2.10.4-2ubuntu3 armhf [installed]
libsigc++-2.0-dev/jammy,now 2.10.4-2ubuntu3 armhf [installed]
libsigsegv2/jammy,now 2.13-1ubuntu3 armhf [installed]
libslang2/jammy,now 2.3.2-5build4 armhf [installed]
libsm-dev/jammy,now 2:1.2.3-1build2 armhf [installed]
libsm6/jammy,now 2:1.2.3-1build2 armhf [installed]
libsmartcols1/jammy,now 2.37.2-4ubuntu3 armhf [installed]
libsnappy1v5/jammy,now 1.1.8-1build3 armhf [installed]
libsndfile1/jammy,now 1.0.31-2build1 armhf [installed]
libsocket++1/jammy,now 1.12.13+git20131030.5d039ba-1 armhf [installed]
libsocket6-perl/jammy,now 0.29-1build4 armhf [installed]
libsodium23/jammy,now 1.0.18-1build2 armhf [installed]
libsoftware-license-perl/jammy,now 0.104001-1 all [installed]
libsource-highlight-common/jammy,now 3.1.9-4.1build2 all [installed]
libsource-highlight4v5/jammy,now 3.1.9-4.1build2 armhf [installed]
libsoxr0/jammy,now 0.1.3-4build2 armhf [installed]
libspatialite7/jammy,now 5.0.1-2build2 armhf [installed]
libspeex1/jammy,now 1.2~rc1.2-1.1ubuntu3 armhf [installed]
libsqlite3-0/jammy,now 3.37.2-2 armhf [installed]
libsqlite3-dev/jammy,now 3.37.2-2 armhf [installed]
libsrt1.4-gnutls/jammy,now 1.4.4-4 armhf [installed]
libss2/jammy,now 1.46.5-2ubuntu1 armhf [installed]
libssh-4/jammy,now 0.9.6-2build1 armhf [installed]
libssh-gcrypt-4/jammy,now 0.9.6-2build1 armhf [installed]
libssh2-1/jammy,now 1.10.0-3 armhf [installed]
libssl-dev/jammy,now 3.0.2-0ubuntu1 armhf [installed]
libssl-doc/jammy,now 3.0.2-0ubuntu1 all [installed]
libssl3/jammy,now 3.0.2-0ubuntu1 armhf [installed]
libstdc++-11-dev/jammy,now 11.2.0-19ubuntu1 armhf [installed]
libstdc++-9-dev/jammy,now 9.4.0-5ubuntu1 armhf [installed]
libstdc++6/jammy,now 12-20220319-1ubuntu1 armhf [installed]
libstemmer0d/jammy,now 2.2.0-1build1 armhf [installed]
libstrictures-perl/jammy,now 2.000006-1 all [installed]
libsub-exporter-perl/jammy,now 0.988-1 all [installed]
libsub-exporter-progressive-perl/jammy,now 0.001013-1 all [installed]
libsub-identify-perl/jammy,now 0.14-1build5 armhf [installed]
libsub-install-perl/jammy,now 0.928-1.1 all [installed]
libsub-name-perl/jammy,now 0.26-1build3 armhf [installed]
libsub-override-perl/jammy,now 0.09-2 all [installed]
libsub-quote-perl/jammy,now 2.006006-1 all [installed]
libsubunit-dev/jammy,now 1.4.0-3 armhf [installed]
libsubunit0/jammy,now 1.4.0-3 armhf [installed]
libsuperlu5/jammy,now 5.3.0+dfsg1-2 armhf [installed]
libswresample-dev/jammy,now 7:4.4.1-3ubuntu5 armhf [installed]
libswresample3/jammy,now 7:4.4.1-3ubuntu5 armhf [installed]
libswscale-dev/jammy,now 7:4.4.1-3ubuntu5 armhf [installed]
libswscale5/jammy,now 7:4.4.1-3ubuntu5 armhf [installed]
libsynctex-dev/jammy,now 2021.20210626.59705-1build1 armhf [installed]
libsynctex2/jammy,now 2021.20210626.59705-1build1 armhf [installed]
libsys-hostname-long-perl/jammy,now 1.5-2 all [installed]
libsysfs-dev/jammy,now 2.1.1-1build1 armhf [installed]
libsysfs2/jammy,now 2.1.1-1build1 armhf [installed]
libsystemd0/jammy,now 249.11-0ubuntu3 armhf [installed]
libsz2/jammy,now 1.0.6-1 armhf [installed]
libtalloc2/jammy,now 2.3.3-2build1 armhf [installed]
libtasn1-6/jammy,now 4.18.0-4build1 armhf [installed]
libtbb-dev/jammy,now 2021.5.0-7ubuntu2 armhf [installed]
libtbb12/jammy,now 2021.5.0-7ubuntu2 armhf [installed]
libtbbmalloc2/jammy,now 2021.5.0-7ubuntu2 armhf [installed]
libtcl8.6/jammy,now 8.6.12+dfsg-1build1 armhf [installed]
libtdb1/jammy,now 1.4.5-2build1 armhf [installed]
libterm-ui-perl/jammy,now 0.50-1 all [installed]
libtesseract4/jammy,now 4.1.1-2.1build1 armhf [installed]
libtevent0/jammy,now 0.11.0-1build1 armhf [installed]
libtext-charwidth-perl/jammy,now 0.04-10build3 armhf [installed]
libtext-iconv-perl/jammy,now 1.7-7build3 armhf [installed]
libtext-soundex-perl/jammy,now 3.05-1build1 armhf [installed]
libtext-template-perl/jammy,now 1.60-1 all [installed]
libtext-unidecode-perl/jammy,now 1.30-1 all [installed]
libtext-wrapi18n-perl/jammy,now 0.06-9 all [installed]
libthai-data/jammy,now 0.1.29-1build1 all [installed]
libthai-dev/jammy,now 0.1.29-1build1 armhf [installed]
libthai0/jammy,now 0.1.29-1build1 armhf [installed]
libtheora0/jammy,now 1.1.1+dfsg.1-15ubuntu4 armhf [installed]
libtie-ixhash-perl/jammy,now 1.23-2.1 all [installed]
libtiff-dev/jammy,now 4.3.0-6 armhf [installed]
libtiff5-dev/jammy,now 4.3.0-6 armhf [installed]
libtiff5/jammy,now 4.3.0-6 armhf [installed]
libtiffxx5/jammy,now 4.3.0-6 armhf [installed]
libtimedate-perl/jammy,now 2.3300-2 all [installed]
libtinfo-dev/jammy,now 6.3-2 armhf [installed]
libtinfo5/jammy,now 6.3-2 armhf [installed]
libtinfo6/jammy,now 6.3-2 armhf [installed]
libtirpc-common/jammy,now 1.3.2-2build1 all [installed]
libtirpc-dev/jammy,now 1.3.2-2build1 armhf [installed]
libtirpc3/jammy,now 1.3.2-2build1 armhf [installed]
libtk8.6/jammy,now 8.6.12-1build1 armhf [installed]
libtool/jammy,now 2.4.6-15build2 all [installed]
libtry-tiny-perl/jammy,now 0.31-1 all [installed]
libtwolame0/jammy,now 0.4.0-2build2 armhf [installed]
libtype-tiny-perl/jammy,now 1.012004-1 all [installed]
libtype-tiny-xs-perl/jammy,now 0.022-1build2 armhf [installed]
libubsan1/jammy,now 12-20220319-1ubuntu1 armhf [installed]
libuchardet0/jammy,now 0.0.7-1build2 armhf [installed]
libudev1/jammy,now 249.11-0ubuntu3 armhf [installed]
libudfread0/jammy,now 1.1.2-1 armhf [installed]
libunicode-utf8-perl/jammy,now 0.62-1build4 armhf [installed]
libunistring2/jammy,now 1.0-1 armhf [installed]
libunwind8/jammy,now 1.3.2-2build2 armhf [installed]
liburi-escape-xs-perl/jammy,now 0.14-1build6 armhf [installed]
liburi-perl/jammy,now 5.10-1 all [installed]
liburing2/jammy,now 2.1-2build1 armhf [installed]
liburiparser1/jammy,now 0.9.6+dfsg-1 armhf [installed]
libusb-0.1-4/jammy,now 2:0.1.12-32build3 armhf [installed]
libusb-1.0-0-dev/jammy,now 2:1.0.25-1ubuntu1 armhf [installed]
libusb-1.0-0/jammy,now 2:1.0.25-1ubuntu1 armhf [installed]
libusb-1.0-doc/jammy,now 2:1.0.25-1ubuntu1 all [installed]
libusb-dev/jammy,now 2:0.1.12-32build3 armhf [installed]
libustr-1.0-1/jammy,now 1.0.4-6 armhf [installed]
libutempter0/jammy,now 1.2.1-2build2 armhf [installed]
libuuid1/jammy,now 2.37.2-4ubuntu3 armhf [installed]
libuv1/jammy,now 1.43.0-1 armhf [installed]
libv4l-0/jammy,now 1.22.1-2build1 armhf [installed]
libv4lconvert0/jammy,now 1.22.1-2build1 armhf [installed]
libva-drm2/jammy,now 2.14.0-1 armhf [installed]
libva-x11-2/jammy,now 2.14.0-1 armhf [installed]
libva2/jammy,now 2.14.0-1 armhf [installed]
libvariable-magic-perl/jammy,now 0.62-1build5 armhf [installed]
libvdpau1/jammy,now 1.4-3build2 armhf [installed]
libvisual-0.4-0/jammy,now 0.4.0-17build2 armhf [installed]
libvorbis0a/jammy,now 1.3.7-1build2 armhf [installed]
libvorbisenc2/jammy,now 1.3.7-1build2 armhf [installed]
libvorbisfile3/jammy,now 1.3.7-1build2 armhf [installed]
libvpx7/jammy,now 1.11.0-2ubuntu2 armhf [installed]
libvtk9.1/jammy,now 9.1.0+really9.1.0+dfsg2-3build1 armhf [installed]
libvulkan1/jammy,now 1.3.204.1-2 armhf [installed]
libwacom-bin/jammy,now 2.2.0-1 armhf [installed]
libwacom-common/jammy,now 2.2.0-1 all [installed]
libwacom9/jammy,now 2.2.0-1 armhf [installed]
libwavpack1/jammy,now 5.4.0-1build2 armhf [installed]
libwayland-client0/jammy,now 1.20.0-1 armhf [installed]
libwayland-cursor0/jammy,now 1.20.0-1 armhf [installed]
libwayland-egl1/jammy,now 1.20.0-1 armhf [installed]
libwayland-server0/jammy,now 1.20.0-1 armhf [installed]
libwbclient0/jammy,now 2:4.15.5~dfsg-0ubuntu5 armhf [installed]
libwebp-dev/jammy,now 1.2.2-2 armhf [installed]
libwebp7/jammy,now 1.2.2-2 armhf [installed]
libwebpdemux2/jammy,now 1.2.2-2 armhf [installed]
libwebpmux3/jammy,now 1.2.2-2 armhf [installed]
libwind0-heimdal/jammy,now 7.7.0+dfsg-3ubuntu1 armhf [installed]
libwrap0/jammy,now 7.6.q-31build2 armhf [installed]
libwww-perl/jammy,now 6.61-1 all [installed]
libwww-robotrules-perl/jammy,now 6.02-1 all [installed]
libx11-6/jammy,now 2:1.7.5-1 armhf [installed]
libx11-data/jammy,now 2:1.7.5-1 all [installed]
libx11-dev/jammy,now 2:1.7.5-1 armhf [installed]
libx11-doc/jammy,now 2:1.7.5-1 all [installed]
libx11-protocol-perl/jammy,now 0.56-7.1 all [installed]
libx11-xcb-dev/jammy,now 2:1.7.5-1 armhf [installed]
libx11-xcb1/jammy,now 2:1.7.5-1 armhf [installed]
libx264-163/jammy,now 2:0.163.3060+git5db6aa6-2build1 armhf [installed]
libx265-199/jammy,now 3.5-2 armhf [installed]
libxau-dev/jammy,now 1:1.0.9-1build5 armhf [installed]
libxau6/jammy,now 1:1.0.9-1build5 armhf [installed]
libxaw7/jammy,now 2:1.0.14-1 armhf [installed]
libxcb-dri2-0-dev/jammy,now 1.14-3ubuntu3 armhf [installed]
libxcb-dri2-0/jammy,now 1.14-3ubuntu3 armhf [installed]
libxcb-dri3-0/jammy,now 1.14-3ubuntu3 armhf [installed]
libxcb-dri3-dev/jammy,now 1.14-3ubuntu3 armhf [installed]
libxcb-glx0-dev/jammy,now 1.14-3ubuntu3 armhf [installed]
libxcb-glx0/jammy,now 1.14-3ubuntu3 armhf [installed]
libxcb-present-dev/jammy,now 1.14-3ubuntu3 armhf [installed]
libxcb-present0/jammy,now 1.14-3ubuntu3 armhf [installed]
libxcb-randr0-dev/jammy,now 1.14-3ubuntu3 armhf [installed]
libxcb-randr0/jammy,now 1.14-3ubuntu3 armhf [installed]
libxcb-render0-dev/jammy,now 1.14-3ubuntu3 armhf [installed]
libxcb-render0/jammy,now 1.14-3ubuntu3 armhf [installed]
libxcb-shape0-dev/jammy,now 1.14-3ubuntu3 armhf [installed]
libxcb-shape0/jammy,now 1.14-3ubuntu3 armhf [installed]
libxcb-shm0-dev/jammy,now 1.14-3ubuntu3 armhf [installed]
libxcb-shm0/jammy,now 1.14-3ubuntu3 armhf [installed]
libxcb-sync-dev/jammy,now 1.14-3ubuntu3 armhf [installed]
libxcb-sync1/jammy,now 1.14-3ubuntu3 armhf [installed]
libxcb-xfixes0-dev/jammy,now 1.14-3ubuntu3 armhf [installed]
libxcb-xfixes0/jammy,now 1.14-3ubuntu3 armhf [installed]
libxcb1-dev/jammy,now 1.14-3ubuntu3 armhf [installed]
libxcb1/jammy,now 1.14-3ubuntu3 armhf [installed]
libxcomposite-dev/jammy,now 1:0.4.5-1build2 armhf [installed]
libxcomposite1/jammy,now 1:0.4.5-1build2 armhf [installed]
libxcursor-dev/jammy,now 1:1.2.0-2build4 armhf [installed]
libxcursor1/jammy,now 1:1.2.0-2build4 armhf [installed]
libxcvt0/jammy,now 0.1.1-3 armhf [installed]
libxdamage-dev/jammy,now 1:1.1.5-2build2 armhf [installed]
libxdamage1/jammy,now 1:1.1.5-2build2 armhf [installed]
libxdmcp-dev/jammy,now 1:1.1.3-0ubuntu5 armhf [installed]
libxdmcp6/jammy,now 1:1.1.3-0ubuntu5 armhf [installed]
libxdot4/jammy,now 2.42.2-6 armhf [installed]
libxerces-c3.2/jammy,now 3.2.3+debian-3build1 armhf [installed]
libxext-dev/jammy,now 2:1.3.4-1build1 armhf [installed]
libxext6/jammy,now 2:1.3.4-1build1 armhf [installed]
libxfixes-dev/jammy,now 1:6.0.0-1 armhf [installed]
libxfixes3/jammy,now 1:6.0.0-1 armhf [installed]
libxfont2/jammy,now 1:2.0.5-1build1 armhf [installed]
libxft-dev/jammy,now 2.3.4-1 armhf [installed]
libxft2/jammy,now 2.3.4-1 armhf [installed]
libxi-dev/jammy,now 2:1.8-1build1 armhf [installed]
libxi6/jammy,now 2:1.8-1build1 armhf [installed]
libxinerama-dev/jammy,now 2:1.1.4-3 armhf [installed]
libxinerama1/jammy,now 2:1.1.4-3 armhf [installed]
libxkbcommon0/jammy,now 1.4.0-1 armhf [installed]
libxkbfile1/jammy,now 1:1.1.0-1build3 armhf [installed]
libxml-libxml-perl/jammy,now 2.0207+dfsg+really+2.0134-1 armhf [installed]
libxml-namespacesupport-perl/jammy,now 1.12-1.1 all [installed]
libxml-parser-perl/jammy,now 2.46-3build1 armhf [installed]
libxml-sax-base-perl/jammy,now 1.09-1.1 all [installed]
libxml-sax-expat-perl/jammy,now 0.51-1 all [installed]
libxml-sax-perl/jammy,now 1.02+dfsg-3 all [installed]
libxml-twig-perl/jammy,now 1:3.52-1 all [installed]
libxml-xpathengine-perl/jammy,now 0.14-1 all [installed]
libxml2-dev/jammy,now 2.9.13+dfsg-1build1 armhf [installed]
libxml2-utils/jammy,now 2.9.13+dfsg-1build1 armhf [installed]
libxml2/jammy,now 2.9.13+dfsg-1build1 armhf [installed]
libxmlb2/jammy,now 0.3.6-2build1 armhf [installed]
libxmu-dev/jammy,now 2:1.1.3-3 armhf [installed]
libxmu-headers/jammy,now 2:1.1.3-3 all [installed]
libxmu6/jammy,now 2:1.1.3-3 armhf [installed]
libxmuu1/jammy,now 2:1.1.3-3 armhf [installed]
libxnvctrl0/jammy,now 510.47.03-0ubuntu1 armhf [installed]
libxpm4/jammy,now 1:3.5.12-1build2 armhf [installed]
libxrandr-dev/jammy,now 2:1.5.2-1build1 armhf [installed]
libxrandr2/jammy,now 2:1.5.2-1build1 armhf [installed]
libxrender-dev/jammy,now 1:0.9.10-1build4 armhf [installed]
libxrender1/jammy,now 1:0.9.10-1build4 armhf [installed]
libxshmfence-dev/jammy,now 1.3-1build4 armhf [installed]
libxshmfence1/jammy,now 1.3-1build4 armhf [installed]
libxslt1-dev/jammy,now 1.1.34-4build2 armhf [installed]
libxslt1.1/jammy,now 1.1.34-4build2 armhf [installed]
libxss-dev/jammy,now 1:1.2.3-1build2 armhf [installed]
libxss1/jammy,now 1:1.2.3-1build2 armhf [installed]
libxt-dev/jammy,now 1:1.2.1-1 armhf [installed]
libxt6/jammy,now 1:1.2.1-1 armhf [installed]
libxtables12/jammy,now 1.8.7-1ubuntu5 armhf [installed]
libxtst6/jammy,now 2:1.2.3-1build4 armhf [installed]
libxv1/jammy,now 2:1.0.11-1build2 armhf [installed]
libxvidcore4/jammy,now 2:1.3.7-1 armhf [installed]
libxxf86dga1/jammy,now 2:1.1.5-0ubuntu3 armhf [installed]
libxxf86vm1/jammy,now 1:1.1.4-1build3 armhf [installed]
libxxhash0/jammy,now 0.8.1-1 armhf [installed]
libyaml-0-2/jammy,now 0.2.2-1build2 armhf [installed]
libyaml-dev/jammy,now 0.2.2-1build2 armhf [installed]
libyaml-tiny-perl/jammy,now 1.73-1 all [installed]
libzip-dev/jammy,now 1.7.3-1ubuntu2 armhf [installed]
libzip4/jammy,now 1.7.3-1ubuntu2 armhf [installed]
libzmq5/jammy,now 4.3.4-2 armhf [installed]
libzstd1/jammy,now 1.4.8+dfsg-3build1 armhf [installed]
libzvbi-common/jammy,now 0.2.35-19 all [installed]
libzvbi0/jammy,now 0.2.35-19 armhf [installed]
libzzip-0-13/jammy,now 0.13.72+dfsg.1-1.1 armhf [installed]
libzzip-dev/jammy,now 0.13.72+dfsg.1-1.1 armhf [installed]
linux-firmware/jammy,now 20220329.git681281e4-0ubuntu1 all [installed]
